TPR,FPR,Threshold
0.0,0.0,2.0
0.009418642416368951,0.0017513134851138354,1.0
0.013316011692107827,0.0017513134851138354,0.9948497
0.013316011692107827,0.0020015011258443832,0.9947162
0.02143553101656382,0.0020015011258443832,0.98748213
0.02143553101656382,0.002251688766574931,0.9872163
0.023708996427411498,0.002251688766574931,0.98574835
0.023708996427411498,0.002501876407305479,0.9855905
0.025657681065280935,0.002501876407305479,0.98438764
0.025657681065280935,0.0027520640480360272,0.9836289
0.026956804157193894,0.0027520640480360272,0.982732
0.026956804157193894,0.003002251688766575,0.9821981
0.029230269568041572,0.003002251688766575,0.98070675
0.029230269568041572,0.003252439329497123,0.980664
0.03182851575186749,0.003252439329497123,0.9799617
0.03182851575186749,0.0035026269702276708,0.9794176
0.03605066580058461,0.0035026269702276708,0.97588676
0.03605066580058461,0.0037528146109582186,0.975681
0.03702500811951932,0.0037528146109582186,0.97485584
0.03702500811951932,0.0040030022516887665,0.9744434
0.04124715816823644,0.0040030022516887665,0.97113776
0.04124715816823644,0.004253189892419315,0.971015
0.04481974667099708,0.004253189892419315,0.9688743
0.04481974667099708,0.004503377533149862,0.9688345
0.04579408898993179,0.004503377533149862,0.9683554
0.04579408898993179,0.0047535651738804105,0.96818626
0.04936667749269243,0.0047535651738804105,0.9665909
0.04936667749269243,0.005003752814610958,0.96639425
0.05683663527119195,0.005003752814610958,0.9634486
0.05683663527119195,0.0055041280960720545,0.96303606
0.058460539136083144,0.0055041280960720545,0.962598
0.058460539136083144,0.005754315736802602,0.96224517
0.06008444300097434,0.005754315736802602,0.96158427
0.06008444300097434,0.006254691018263698,0.9615191
0.06235790841182202,0.006254691018263698,0.9608578
0.06235790841182202,0.006504878658994246,0.9606223
0.06528093536862618,0.006504878658994246,0.95844096
0.06528093536862618,0.006755066299724793,0.9579552
0.06917830464436506,0.006755066299724793,0.95655537
0.06917830464436506,0.00725544158118589,0.9560212
0.07177655082819097,0.00725544158118589,0.9546105
0.07177655082819097,0.007505629221916437,0.9545255
0.07469957778499513,0.007505629221916437,0.953394
0.07469957778499513,0.0077558168626469855,0.9531993
0.07567392010392984,0.0077558168626469855,0.95289665
0.07567392010392984,0.008006004503377533,0.95265603
0.07599870087690809,0.008006004503377533,0.95248973
0.07599870087690809,0.00825619214410808,0.952487
0.08476778174732055,0.00825619214410808,0.94880813
0.08476778174732055,0.00850637978483863,0.9485452
0.08541734329327703,0.00850637978483863,0.948436
