Labels,Scores
0,0.9661312
0,0.9539245
0,0.9173803
0,0.9466659
0,0.9503159
0,1.0
0,0.94543725
0,0.9316222
0,0.9943985
0,0.91151774
0,0.86809355
0,0.89428365
0,0.8696083
0,0.8976372
0,0.9239145
0,0.9419749
0,0.91943914
0,0.8980415
0,0.8706148
0,0.85928965
0,0.89358586
0,0.9328061
0,0.9820647
0,0.9471431
0,0.93124205
0,0.9046122
0,0.9396638
0,0.94304985
0,0.9070601
0,0.90792483
0,0.83651114
0,0.794878
0,0.8594172
0,0.84771866
0,0.79544383
0,0.8566703
0,0.86952704
0,0.83816284
0,0.8072255
0,0.7255281
0,0.81268966
0,0.8808188
0,0.9316616
0,0.7958038
0,0.72488403
0,0.74819875
0,0.8641476
0,0.8845254
0,0.83997256
0,0.74228895
0,0.80593777
0,0.7942004
0,0.90794605
0,0.8479058
0,0.72477174
1,0.79117876
1,0.6978075
1,0.78183365
1,0.7655052
1,0.6568337
1,0.70287865
1,0.7296356
1,0.6882915
1,0.74111545
1,0.70127577
1,0.6453937
1,0.664569
1,0.5819025
1,0.6499897
1,0.5855569
1,0.4868648
1,0.52135557
1,0.55395186
1,0.6381248
1,0.5893463
1,0.63879454
1,0.57070434
1,0.50000125
1,0.69897264
1,0.59590024
1,0.5858696
1,0.6366386
1,0.6052611
1,0.6735955
1,0.6730184
1,0.5880763
1,0.5481169
1,0.5361525
1,0.60113883
1,0.65463597
1,0.599598
1,0.5186333
1,0.5288796
1,0.6025019
1,0.5666924
1,0.7059983
1,0.61855954
1,0.60850334
1,0.5943771
1,0.62841034
1,0.6004809
1,0.60539156
1,0.5669849
1,0.51313424
1,0.6240966
1,0.67508715
1,0.6485671
1,0.574246
1,0.5121676
1,0.53300923
1,0.5686405
1,0.60980237
1,0.492065
1,0.5203431
1,0.48966435
1,0.4581455
1,0.5297448
1,0.5334032
1,0.45799923
1,0.40377972
1,0.42984375
1,0.45141968
1,0.40023166
1,0.37289906
1,0.40594053
1,0.40875438
1,0.4674896
1,0.32825017
1,0.33194545
1,0.37815836
1,0.33339572
1,0.32984912
1,0.22363542
1,0.2632225
1,0.23849443
1,0.17556824
1,0.037661847
1,0.038385987
1,0.016824832
1,0.0038553418
1,0.07759805
1,0.030930143
1,0.07932086
1,0.0
1,0.16993813
1,0.32915184
1,0.41468242
1,0.60587364
0,0.8399952
0,0.7740274
0,0.8861421
0,0.8587415
0,0.8496993
0,0.84065163
0,0.8594019
0,0.8347157
0,0.7760105
0,0.7884462
0,0.87701315
0,0.73682874
0,0.74311477
0,0.7329778
0,0.87725645
0,0.7852581
0,0.79364735
0,0.84505016
0,0.81229866
0,0.8837567
0,0.8573873
0,0.90718716
0,0.7197956
0,0.7680625
0,0.77851313
0,0.7951385
0,0.89476085
0,0.86862737
0,0.85876024
0,0.87397283
0,0.8692567
0,0.83907676
0,0.82001233
0,0.8600406
0,0.77654284
0,0.8152563
0,0.8190333
0,0.7370178
0,0.8215281
0,0.9284499
0,0.86834913
0,0.90499926
0,0.94703573
0,0.8930644
0,0.8161117
0,0.8440441
0,0.8887013
0,0.88132256
0,0.89964646
0,0.9500596
0,0.90317506
0,0.856943
0,0.8369521
0,0.8627687
0,0.8836935
0,0.9498458
0,0.9128527
0,0.9042966
0,0.9849228
0,1.0
0,0.9162901
0,0.7705158
0,0.6979976
0,0.7483138
0,0.88472754
0,0.8778296
0,0.7645979
0,0.8013059
0,0.8423532
0,0.8308314
0,0.9256171
0,0.8875319
0,0.88327634
0,0.8443725
0,0.8276052
0,0.75889593
0,0.69743633
0,0.76880366
0,0.7795237
0,0.8703086
0,0.7802343
0,0.8493439
0,0.82573944
0,0.80005336
0,0.72320575
0,0.71505636
0,0.8271377
0,0.86866456
0,0.82460535
0,0.84148693
0,0.7121943
0,0.75190216
0,0.55131245
1,0.36285043
1,0.3734342
1,0.28390023
1,0.29626793
1,0.20503177
1,0.2412162
1,0.23383036
1,0.17160715
1,0.2165552
1,0.11928847
1,0.10661837
1,0.12663132
1,0.0
1,0.039410643
1,0.031127071
1,0.124570124
1,0.09169892
1,0.14295843
1,0.12614812
1,0.09247509
1,0.11969201
1,0.27188104
1,0.22308677
1,0.24349332
1,0.22705352
1,0.13732146
1,0.24931791
1,0.2168775
1,0.16137506
1,0.04065061
1,0.057067867
1,0.18882519
1,0.1890689
1,0.1988225
1,0.24635635
1,0.16763778
1,0.2692009
1,0.35290238
1,0.22509766
1,0.23102184
1,0.27104095
1,0.31725305
1,0.4452517
1,0.40673512
1,0.36012262
1,0.38598585
1,0.38735315
1,0.2917221
1,0.412849
1,0.27648976
1,0.4128962
1,0.26929262
1,0.36863205
1,0.45800826
1,0.37529203
1,0.36161152
1,0.39058253
1,0.4237336
1,0.4556845
1,0.42824957
1,0.39653605
1,0.44948834
1,0.43520617
1,0.4781533
1,0.47040638
1,0.3783773
1,0.46355197
1,0.5356441
1,0.43138826
1,0.41130877
1,0.32474947
1,0.4476305
1,0.5044646
1,0.48742422
1,0.3822675
1,0.45628667
1,0.41436833
1,0.36798692
1,0.4049449
1,0.46654287
1,0.43757972
1,0.3905757
1,0.36813524
1,0.39419344
1,0.43481627
1,0.44232735
1,0.43538594
1,0.48390976
1,0.43459982
1,0.3519842
1,0.43141186
1,0.3131139
1,0.18774088
1,0.18976958
1,0.27509728
1,0.31033942
1,0.2981085
1,0.27836964
1,0.2774934
1,0.309688
1,0.34047705
1,0.31701356
1,0.2096835
1,0.3411201
1,0.29439646
1,0.37912357
1,0.40350053
1,0.3889663
1,0.32653394
1,0.36800894
1,0.33558634
1,0.23148565
1,0.27227145
1,0.34315875
1,0.34748554
1,0.33928737
1,0.41969296
1,0.3786194
1,0.41907507
1,0.42553747
1,0.41945502
1,0.34033763
1,0.33874914
1,0.4414359
1,0.51623017
1,0.49134538
0,0.5649186
0,0.5083858
0,0.5747859
0,0.6434689
0,0.6434841
0,0.5626456
0,0.6364064
0,0.60328364
0,0.6476956
0,0.61944675
0,0.6162211
0,0.62788755
0,0.72681874
0,0.70045555
0,0.75171715
0,0.67750144
0,0.6216353
0,0.6202811
0,0.5791226
0,0.70480067
0,0.6022801
0,0.55522156
0,0.66736054
0,0.64990145
0,0.59643346
0,1.0
0,0.9603594
0,0.8496368
0,0.8818323
0,0.9770653
0,0.9638773
0,0.88697547
0,0.8564075
0,0.8637161
0,0.9236346
0,0.8687317
0,0.9073912
0,0.9053533
0,0.86422986
0,0.86561227
0,0.8390362
0,0.85034865
0,0.8844668
0,0.7959206
0,0.8682633
0,0.85717887
0,0.80722964
0,0.84764224
0,0.771217
0,0.79638624
0,0.782092
0,0.8283796
0,0.7820146
0,0.8302757
0,0.74850786
0,0.7115111
0,0.76438296
0,0.73908716
0,0.7790737
0,0.6477545
0,0.85959125
0,0.8844228
0,0.91572213
0,0.89320666
0,0.8525722
0,0.8694645
0,0.8833588
0,0.96443856
0,0.91266364
0,0.87835354
0,0.9088121
0,0.90577286
0,0.90388286
0,0.8431267
0,0.83221316
0,0.80635583
0,0.8823354
0,0.94397604
0,0.8791796
0,0.877217
0,0.8027051
0,0.85138714
0,0.8625607
0,0.9205427
0,0.8451274
0,0.7511527
0,0.82610375
0,0.79004574
0,0.85420907
0,0.8042622
0,0.8441116
0,0.8277468
0,0.9060868
0,0.90596336
0,0.7819331
0,0.81433874
0,0.80723304
0,0.8350867
0,0.8236099
0,0.77629924
0,0.16000865
0,0.0
0,0.31885654
0,0.6618142
0,0.7518442
0,0.7627
0,0.8282399
0,0.72721833
0,0.83184147
0,0.84837097
0,0.8547239
1,0.7628754
1,0.7445188
1,0.72247237
1,0.74360514
1,0.8188048
1,0.67451215
1,0.69015306
1,0.7137587
1,0.71552384
1,0.7448644
1,0.667652
1,0.69617486
1,0.71912295
1,0.69239414
1,0.60592574
1,0.62140024
1,0.67164415
1,0.7484446
1,0.7736204
1,0.7058734
1,0.69089276
1,0.6926521
1,0.6616124
1,0.616516
1,0.6134479
1,0.64267397
1,0.68436515
1,0.7107036
1,0.70724756
1,0.61037564
1,0.6485324
1,0.64267844
1,0.6335046
1,0.67492
1,0.62433285
1,0.62766993
1,0.66716987
1,0.6136718
1,0.5782819
1,0.55157894
1,0.5981481
1,0.63864434
1,0.61239666
1,0.60636383
1,0.60862184
1,0.6309014
1,0.62201405
1,0.6225873
1,0.6295331
1,0.61270887
1,0.67292994
1,0.59539634
1,0.6207819
1,0.5756611
1,0.60824937
1,0.57719934
1,0.62669504
1,0.60130394
1,0.62326854
1,0.6339616
1,0.70612276
1,0.6886486
1,0.6139888
1,0.6306294
1,0.66722286
1,0.6708515
1,0.62613106
1,0.60867065
1,0.55621034
1,0.5902092
1,0.6208923
1,0.5686789
1,0.61476773
1,0.607433
1,0.6467421
1,0.63092136
1,0.53953093
1,0.55715257
1,0.5121959
1,0.51962584
1,0.54423493
1,0.5003102
1,0.5515263
1,0.5715727
1,0.5364824
1,0.5584869
1,0.5235447
1,0.4910533
1,0.5110046
1,0.50773704
1,0.5571354
1,0.5614618
1,0.52809745
1,0.6120775
1,0.60010415
1,0.53510237
1,0.5317516
1,0.57197577
1,0.54051375
1,0.5247776
1,0.5296143
1,0.5648618
1,0.51255935
1,0.60153604
1,0.5586337
1,0.6219687
1,0.6151291
1,0.571027
1,0.6334475
1,0.6347584
0,0.5358936
0,0.56749463
0,0.65294707
0,0.5387256
0,0.63668567
0,0.5446653
0,0.4691315
0,0.5402379
0,0.45461175
0,0.45460227
0,0.506448
0,0.57819843
0,0.5534495
0,0.60419226
0,0.42750657
0,0.4984877
0,0.5747234
0,0.5923235
0,0.5342919
0,0.6713775
0,0.51190454
0,0.51773584
0,0.49837616
0,0.46609536
0,0.5159636
0,0.6028358
1,0.5163393
1,0.5646269
1,0.63379264
1,0.7181391
1,0.67141116
1,0.63151425
1,0.59747386
1,0.6135343
1,0.57353
1,0.60735047
1,0.7241503
1,0.5827963
1,0.6534754
1,0.52142966
1,0.55995953
1,0.61191463
1,0.76524377
1,0.61276186
1,0.6059708
1,0.6156548
1,0.65113175
1,0.9100181
1,0.79941154
1,0.6400954
1,0.6359764
1,0.73360175
1,0.71123123
1,0.67219836
1,0.6303377
1,0.6674447
1,0.65784806
1,0.63011146
1,0.6455036
1,0.8993753
1,0.6317731
1,0.7614573
1,0.6593056
1,0.8626408
1,0.80183303
1,0.6931671
1,0.7259246
1,0.72923124
1,0.84019977
1,0.85277367
1,0.8396841
1,0.83396757
1,0.86439306
1,0.7939959
1,0.68930906
1,0.7785417
1,0.81525934
1,0.49330157
1,0.5196164
1,0.81531197
1,0.70870656
1,0.20293531
1,0.19609693
1,0.55808526
1,0.77786183
1,0.89552885
1,0.79532087
1,0.96303606
1,0.7651122
1,0.78826463
1,0.8983808
1,0.6992383
1,0.6313027
1,0.778829
1,0.711066
1,0.7591052
1,0.60638964
1,0.96639425
1,0.82084227
1,0.86384684
